dep,arr,num,time,fleet,fleetnew,airline
VHHH,EGLL,CX255,13:05,B777-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,OMDB,CX745,9:15,A330-300,,Cathay Pacific
VHHH,VTBS,CX701,3:00,A330-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,VTBS,CX751,3:00,B747-400,,Cathay Pacific
VHHH,VTBS,CX755,3:00,A359-900,,Cathay Pacific
VHHH,VTBS,CX613,3:00,B777-300,,Cathay Pacific
VHHH,VTBS,CX705,3:00,A330-300,,Cathay Pacific
VHHH,VTBS,CX653,3:00,A330-300,A350-900,Cathay Pacific
VHHH,VTBS,CX617,3:00,A330-300,,Cathay Pacific
VHHH,VTBS,CX717,3:00,A330-300,,Cathay Pacific
ZSSS,VTBS,CX712,2:35,A330-300,,Cathay Pacific
VHHH,RCTP,CX472,1:55,A330-300,,Cathay Pacific
VHHH,RCTP,CX484,1:55,A330-300,,Cathay Pacific
VHHH,RCTP,CX474,1:55,B747-400,,Cathay Pacific
VHHH,RCTP,CX450,1:55,A330-300,,Cathay Pacific
VHHH,RCTP,CX408,1:55,A330-300,,Cathay Pacific
VHHH,RCTP,CX494,1:55,A330-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,RCTP,CX464,1:55,A330-300,,Cathay Pacific
VHHH,RCTP,CX430,1:55,A330-300,,Cathay Pacific
VHHH,RCTP,CX564,1:55,A330-300,,Cathay Pacific
VHHH,RCTP,CX400,1:55,A330-300,,Cathay Pacific
VHHH,RCTP,CX470,1:55,B747-400,,Cathay Pacific
VHHH,RCTP,CX530,1:55,A330-300,,Cathay Pacific
VHHH,RCTP,CX402,1:55,A330-300,,Cathay Pacific
VHHH,RCTP,CX468,1:55,A330-300,,Cathay Pacific
VHHH,LSZH,CX383,12:30,A359-900,,Cathay Pacific
VHHH,VCBI,CX611,5:50,A330-300,,Cathay Pacific
VHHH,LEBL,CX321,13:15,A359-900,,Cathay Pacific
VHHH,LEMD,CX315,14:00,A359-900,,Cathay Pacific
VHHH,FAOR,CX749,13:05,B777-300,,Cathay Pacific
VHHH,WSSS,CX635,3:50,A330-300,,Cathay Pacific
VHHH,WSSS,CX715,3:50,A330-300,,Cathay Pacific
VHHH,WSSS,CX735,3:50,A330-300,,Cathay Pacific
VHHH,WSSS,CX759,3:50,A330-300,,Cathay Pacific
VHHH,WSSS,CX691,3:50,A330-300,,Cathay Pacific
VHHH,WSSS,CX711,3:50,A330-300,,Cathay Pacific
VHHH,WSSS,CX693,3:50,A359-900,,Cathay Pacific
VHHH,RPVM,CX921,2:50,A330-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,RPVM,CX925,2:50,A330-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,RPLL,CX939,2:30,A330-300,,Cathay Pacific
VHHH,RPLL,CX901,2:30,A330-300,A350-900,Cathay Pacific
VHHH,RPLL,CX903,2:30,A330-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,RPLL,CX935,2:30,A330-300,,Cathay Pacific
VHHH,RPLL,CX913,2:30,A330-300,,Cathay Pacific
VHHH,RPLL,CX919,2:30,A330-300,,Cathay Pacific
VHHH,RPLL,CX907,2:30,A330-300,A350-900,Cathay Pacific
VHHH,KOAK,CX113,10:55,A359-900,,Cathay Pacific
VHHH,EHAM,CX271,12:25,B777-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,VRMM,CX601,6:55,A330-300,,Cathay Pacific
VHHH,RJCC,CX580,5:10,A330-300,,Cathay Pacific
VHHH,RJTT,CX542,4:10,A359-900,,Cathay Pacific
VHHH,RJTT,CX548,4:10,A330-300,,Cathay Pacific
VHHH,LIMC,CX233,12:40,B777-300,,Cathay Pacific
VHHH,LIRF,CX293,13:00,A359-900,,Cathay Pacific
VHHH,LLBG,CX675,11:35,A359-900,"B777-300ER,A350-900",Cathay Pacific
VHHH,EIDW,CX301,12:50,A359-900,,Cathay Pacific
VHHH,WARR,CX779,4:50,A330-300,A350-900,Cathay Pacific
VHHH,WADD,CX785,5:00,A330-300,,Cathay Pacific
VHHH,WIII,CX797,5:00,A359-900,A350-900,Cathay Pacific
VHHH,WIII,CX719,4:55,B777-300,,Cathay Pacific
VHHH,WIII,CX777,4:55,A330-300,,Cathay Pacific
VHHH,VOHS,CX649,5:50,A330-300,,Cathay Pacific
VHHH,VABB,CX663,6:30,A330-300,,Cathay Pacific
VHHH,VIDP,CX695,6:00,B777-300,,Cathay Pacific
VHHH,VIDP,CX697,6:00,A330-300,,Cathay Pacific
VHHH,EDDF,CX289,12:15,B777-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,LFPG,CX279,12:55,B777-300,,Cathay Pacific
VHHH,LFPG,CX261,12:55,B777-300,,Cathay Pacific
VHHH,ZBAA,CX312,3:25,A330-300,,Cathay Pacific
VHHH,ZBAA,CX332,3:25,A330-300,,Cathay Pacific
VHHH,ZBAA,CX390,3:25,A330-300,"B777-300ER,A330-300",Cathay Pacific
VHHH,ZBAA,CX334,3:25,,"B777-300ER,A330-300",Cathay Pacific
VHHH,ZSPD,CX368,2:50,A330-300,,Cathay Pacific
VHHH,ZSPD,CX360,2:50,A330-300,,Cathay Pacific
VHHH,ZSPD,CX364,2:50,A359-900,,Cathay Pacific
VHHH,ZSPD,CX360,2:50,,"B777-300ER,A350-900,A330-300",Cathay Pacific
VHHH,ZSPD,CX366,2:50,,"B777-300ER,A350-900,A330-300",Cathay Pacific
VHHH,ZSPD,CX368,2:50,,"B777-300ER,A350-900,A330-300",Cathay Pacific
VHHH,ZSPD,CX370,2:50,,"B777-300ER,A350-900,A330-300",Cathay Pacific
VHHH,CYVR,CX810,11:50,B777-300,,Cathay Pacific
VHHH,CYVR,CX888,11:50,B777-300,,Cathay Pacific
VHHH,CYYZ,CX828,15:20,B777-300,,Cathay Pacific
VHHH,CYYZ,CX826,15:20,B777-300,A350-900,Cathay Pacific
VHHH,EBBR,CX399,12:25,A359-900,,Cathay Pacific
VHHH,YPAD,CX173,9:00,A330-300,,Cathay Pacific
VHHH,YPPH,CX171,7:40,A359-900,A350-900,Cathay Pacific
VHHH,YMML,CX105,9:30,A359-900,A350-900,Cathay Pacific
VHHH,YMML,CX163,9:30,A359-900,,Cathay Pacific
VHHH,YMML,CX135,9:30,A359-900,A350-900,Cathay Pacific
VHHH,YBBN,CX157,8:30,A330-300,,Cathay Pacific
VHHH,YSSY,CX161,9:00,A359-900,,Cathay Pacific
VHHH,YSSY,CX101,9:00,A330-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,YSSY,CX111,9:00,B777-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,YSSY,CX139,9:00,A359-900,A350-900,Cathay Pacific
VHHH,RJGG,CX536,3:55,A330-300,,Cathay Pacific
VHHH,RJGG,CX532,3:55,A330-300,,Cathay Pacific
RCTP,RJGG,CX530,2:30,A330-300,,Cathay Pacific
VHHH,RJBB,CX596,3:40,A359-900,A350-900,Cathay Pacific
RCTP,RJBB,CX564,2:30,A330-300,,Cathay Pacific
VHHH,RJBB,CX506,3:40,A330-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,RJBB,CX566,3:40,A330-300,,Cathay Pacific
VHHH,RJBB,CX502,3:40,B747-400,,Cathay Pacific
VHHH,RJAA,CX526,4:30,A359-900,,Cathay Pacific
VHHH,RJAA,CX524,4:30,A330-300,,Cathay Pacific
RCTP,RJAA,CX450,3:00,B777-300,,Cathay Pacific
VHHH,RJAA,CX504,4:30,A330-300,,Cathay Pacific
VHHH,RJAA,CX520,4:30,B747-400,"B777-300ER,A350-900",Cathay Pacific
VHHH,RJAA,CX500,4:30,A330-300,,Cathay Pacific
VHHH,RKSI,CX410,3:50,A330-300,,Cathay Pacific
VHHH,RKSI,CX416,3:50,A330-300,,Cathay Pacific
RCTP,RKSI,CX420,2:35,A330-300,,Cathay Pacific
VHHH,RKSI,CX434,3:50,A330-300,,Cathay Pacific
VHHH,RKSI,CX418,3:50,A359-900,"B777-300ER,A350-900",Cathay Pacific
